Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_6.3x5.9,2,47uF 16v,
"C3, C4, C5, C6",0805,4,0.1uF,
"D1, D2",D_SOD-323F,2,20V,
"D3, D4",0805,2,Red,
"D5, D6",D_SOD-123,2,Signal,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,Power Connector,
J2,Jack_3.5mm_WQP-PJ398SM_Vertical_Tight,1,IN1,
J3,Jack_3.5mm_WQP-PJ398SM_Vertical_Tight,1,IN2,
J4,Jack_3.5mm_WQP-PJ398SM_Vertical_Tight,1,IN3,
J5,Jack_3.5mm_WQP-PJ398SM_Vertical_Tight,1,INV OUT,
J6,Jack_3.5mm_WQP-PJ398SM_Vertical_Tight,1,OUT,
J7,Jack_3.5mm_WQP-PJ398SM_Vertical_Tight,1,CLIP OUT,
"R1, R10, R11, R2, R9",0805,5,1k,
"R12, R15, R3, R4, R5, R6, R7, R8",0805,8,100k,
R13,0805,1,27k,
"RV1, RV2, RV3",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,3,100k,
RV4,Potentiometer_Bourns_3224W_Vertical,1,20k,
TP1,TestPoint_Keystone_5000-5004_Miniature,1,TP_+12V,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,TP_-12V,
"TP3, TP5",TestPoint_Keystone_5000-5004_Miniature,2,TP_GND,
TP7,TestPoint_Keystone_5000-5004_Miniature,1,TP_INV_OUT,
TP8,TestPoint_Keystone_5000-5004_Miniature,1,TP_OUT,
TP9,TestPoint_Keystone_5000-5004_Miniature,1,TP_CLIP_OUT,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074,
